0,422,882,559,675,303,1
0.000757933,420,882,559,675,301,1
0.001400948,419,880,558,673,297,1
0.001961946,422,882,557,674,302,1
0.00246501,421,882,559,675,303,1
0.003387928,422,882,559,675,303,1
0.003922939,420,882,559,675,301,1
0.004457951,419,880,558,673,297,1
0.004986048,422,882,557,674,302,1
0.00554204,421,882,559,675,303,1
0.006240129,419,880,559,675,303,1
0.006768942,419,880,557,667,300,1
0.007292032,417,879,556,664,297,1
0.007821083,417,880,556,665,295,1
0.008342981,419,881,557,668,300,1
0.008868933,417,880,555,666,297,1
0.009422064,418,879,554,665,296,1
0.010141134,419,881,556,668,298,1
0.010937929,418,879,556,667,299,1
0.018393993,418,880,555,666,296,1
0.039073944,417,881,554,665,296,1
0.063621044,420,880,557,667,298,1
0.088387966,419,880,556,668,300,1
0.108555079,418,880,556,666,297,1
0.133160114,419,879,555,666,296,1
0.153741121,419,881,555,667,300,1
0.178216934,418,880,556,667,300,1
0.202785969,417,881,556,664,297,1
0.223304987,417,880,556,665,295,1
0.247821093,418,879,556,667,300,1
0.268388987,417,880,555,668,299,1
0.292973042,417,879,555,665,295,1
0.317587137,418,880,554,666,295,1
0.337814093,419,881,556,667,300,1
0.362395048,419,880,556,667,301,1
0.38293004,417,880,556,666,297,1
0.407613993,419,880,555,665,298,1
0.428561926,419,880,556,667,299,1
0.452677011,418,881,556,667,300,1
0.477210045,417,880,555,666,297,1
0.497757912,418,881,556,665,297,1
0.522433996,418,880,556,667,300,1
0.542760134,417,879,555,667,300,1
0.567382097,416,880,554,665,296,1
0.592167139,418,881,556,664,297,1
0.612550974,420,880,556,667,299,1
0.637000084,419,881,556,667,299,1
0.657604933,418,879,555,665,297,1
0.682013988,418,881,554,666,297,1
0.706490994,419,881,555,667,301,1
0.72755003,418,880,554,667,298,1
0.751605034,417,880,551,665,296,1
0.772129059,418,880,551,663,296,1
0.796793938,419,879,549,660,298,1
0.81724596,417,875,543,644,297,5
0.841896057,416,867,536,617,291,5
0.866204977,416,860,528,593,291,5
0.88677907,418,852,519,563,293,5
0.911710978,417,846,509,534,290,5
0.931958914,419,840,497,510,287,5
0.956824064,421,835,493,489,289,5
0.981082916,423,830,486,475,291,5
1.001552105,422,828,482,463,288,5
1.026152134,423,826,478,453,287,5
1.046781063,424,826,476,449,288,5
1.071255922,424,825,474,448,292,5
1.095690012,425,824,473,444,289,2
1.116281986,423,825,471,439,286,2
1.140944958,426,825,470,439,290,2
1.161664009,427,826,469,439,290,2
1.185857058,426,824,468,436,287,2
1.206368923,428,823,467,433,287,2
1.230989933,427,826,466,435,287,2
1.255625963,430,825,467,435,292,2
1.276220083,429,824,463,433,287,2
1.30062294,427,824,463,431,287,2
1.321137905,429,824,464,433,290,2
1.345600128,430,824,462,435,291,2
1.370078087,428,822,459,432,289,2
1.390825033,428,823,459,426,287,2
1.415247917,428,822,459,425,288,2
1.435770988,431,821,458,424,292,2
1.460263014,428,822,458,420,288,2
1.48499012,429,821,457,419,287,2
1.505321026,431,822,458,423,290,2
1.529881001,430,822,456,427,290,2
1.550617933,429,821,456,423,288,2
1.574991941,429,821,453,421,287,2
