delta Time, Unix Time,time, pr1, pr2, pr3, pr4, pr5,avg,delta,dn/dt,label,,,,,,,,,,,,,,,,,,,,,
0.339330911636,1577122810.81,0.339999914169312,449,889,646,605,309,579.6,2,0,RELAX,45,20169,40043,29042,27109,13874,,,,,,9039761,35632061,18743082,16331237,4277532,,,,,
0.359840869904,1577122810.83,0.359999895095825,449,890,646,604,309,579.6,2,0,RELAX,46,20618,40933,29688,27713,14183,,,,,,9241362,36424161,19160398,16696053,4373013,,,,,
0.384639978409,1577122810.86,0.389999866485596,449,889,645,602,309,578.8,1.19999999999993,-32.2592241506896,RELAX,47,21067,41822,30333,28315,14492,,,,,,9442963,37214482,19576423,17058457,4468494,,,,,
0.404970884323,1577122810.88,0.410000085830689,449,890,645,600,309,578.6,1,-9.83723995605186,RELAX,48,21516,42712,30978,28915,14801,,,,,,9644564,38006582,19992448,17418457,4563975,,,,,
0.429473876953,1577122810.9,0.430000066757202,449,891,645,600,309,578.8,1.19999999999993,8.16226830003874,RELAX,49,21965,43603,31623,29515,15110,,,,,,9846165,38800463,20408473,17778457,4659456,,,,,
0.454011917114,1577122810.93,0.460000038146973,447,887,646,598,308,577.2,-0.399999999999977,-65.2048814616785,RELAX,50,22412,44490,32269,30113,15418,,,,,,10045974,39587232,20825789,18136061,4754320,,,,,
0.474488973618,1577122810.95,0.480000019073486,449,888,645,594,309,577,-0.600000000000023,-9.76702877002744,RELAX,51,22861,45378,32914,30707,15727,448.254901960784,889.764705882353,645.372549019608,602.098039215686,308.372549019608,10247575,40375776,21241814,18488897,4849801,0.62129331442429,0.80654760009338,0.655617784232507,2.31156429472533,0.71292780245839
0.498960971832,1577122810.97,0.5,449,887,644,584,308,574.4,-3.20000000000005,-106.243878299754,TRANSITION,1,449,887,644,584,308,,,,,,201601,786769,414736,341056,94864,,,,,
0.51974606514,1577122810.99,0.519999980926514,451,882,641,566,309,569.8,-7.80000000000007,-221.312453681867,TRANSITION,2,900,1769,1285,1150,617,,,,,,405002,1564693,825617,661412,190345,,,,,
0.543997049332,1577122811.02,0.549999952316284,452,873,640,548,311,564.8,-12.8000000000001,-206.17719925979,TRANSITION,3,1352,2642,1925,1698,928,,,,,,609306,2326822,1235217,961716,287066,,,,,
0.568499088287,1577122811.04,0.569999933242798,452,866,638,537,311,560.8,-16.8000000000001,-163.251719881203,TRANSITION,4,1804,3508,2563,2235,1239,,,,,,813610,3076778,1642261,1250085,383787,,,,,
0.589148044586,1577122811.06,0.589999914169312,453,861,637,527,312,558,-19.6,-135.600073895045,TRANSITION,5,2257,4369,3200,2762,1551,,,,,,1018819,3818099,2048030,1527814,481131,,,,,
0.613770008087,1577122811.09,0.619999885559082,453,858,635,520,312,555.6,-22,-97.4739484079937,TRANSITION,6,2710,5227,3835,3282,1863,,,,,,1224028,4554263,2451255,1798214,578475,,,,,
0.634373903275,1577122811.11,0.639999866485596,453,855,634,517,314,554.6,-23,-48.5345120849972,TRANSITION,7,3163,6082,4469,3799,2177,,,,,,1429237,5285288,2853211,2065503,677071,,,,,
0.65883898735,1577122811.13,0.660000085830689,453,855,633,515,314,554,-23.6,-24.5247471114617,TRANSITION,8,3616,6937,5102,4314,2491,,,,,,1634446,6016313,3253900,2330728,775667,,,,,
0.67947101593,1577122811.15,0.680000066757202,454,852,633,510,314,552.6,-25,-67.8556640502665,TRANSITION,9,4070,7789,5735,4824,2805,,,,,,1840562,6742217,3654589,2590828,874263,,,,,
0.704061031342,1577122811.18,0.710000038146973,455,853,633,508,314,552.6,-25,0,TRANSITION,10,4525,8642,6368,5332,3119,,,,,,2047587,7469826,4055278,2848892,972859,,,,,
0.728255033493,1577122811.2,0.730000019073486,456,853,632,503,315,551.8,-25.8000000000001,-33.0660464939654,TRANSITION,11,4981,9495,7000,5835,3434,452.818181818182,863.181818181818,636.363636363636,530.454545454546,312.181818181818,2255523,8197435,4454702,3101901,1072084,1.79990817029203,11.7691289692261,3.77245344022962,24.677423013992,2.16661368869213
0.749185085297,1577122811.22,0.75,456,852,632,493,315,549.6,-28,-105.112018861773,FIST,1,456,852,632,493,315,,,,,,207936,725904,399424,243049,99225,,,,,
