37,861,521,530,342
437,861,522,529,341
437,860,522,531,343
435,861,522,530,340
436,861,522,529,340
436,862,523,529,342
435,861,521,529,340
437,860,522,529,341
435,860,522,531,340
433,861,522,531,338
435,861,523,528,339
434,862,523,528,338
434,861,521,530,339
435,860,522,529,340
433,861,522,529,337
435,861,522,530,339
433,861,523,529,337
434,862,522,528,338
434,862,521,530,340
433,860,522,530,338
433,861,522,529,338
433,861,522,530,339
433,862,522,529,337
435,862,521,529,339
433,862,520,529,338
434,862,521,530,338
433,861,522,530,339
433,862,522,529,337
434,861,522,530,338
435,862,521,529,339
433,861,522,529,338
434,860,522,531,340
433,861,522,529,338
434,862,522,528,338
434,862,522,529,340
434,862,520,529,338
436,860,522,529,340
433,860,522,530,339
433,861,522,529,338
435,862,522,528,339
434,862,521,528,338
435,861,522,530,338
433,861,522,529,338
433,861,522,530,337
434,861,522,530,338
433,861,522,528,337
434,862,521,528,337
435,860,522,529,338
433,860,521,529,336
432,861,522,529,336
433,861,522,530,337
433,862,521,529,335
430,861,522,528,337
433,860,522,529,336
432,860,522,530,335
432,861,523,529,336
432,861,521,528,335
433,861,522,529,336
432,862,521,528,337
433,861,522,528,335
432,861,522,530,336
431,861,522,529,335
432,861,522,528,336
433,862,521,528,337
432,861,521,529,336
433,861,522,528,336
433,861,521,529,337
432,861,522,529,335
433,861,522,528,337
432,860,522,529,335
433,861,521,529,336
434,859,522,528,337
432,861,521,529,335
433,861,522,529,336
433,861,522,528,336
433,862,521,527,336
434,860,521,530,338
432,861,522,528,336
432,861,522,529,335
433,862,522,529,336
434,861,521,528,335
434,862,521,527,337
433,860,521,529,337
432,861,522,529,335
433,861,522,528,337
432,861,522,528,335
433,861,522,529,336
433,861,521,528,337
433,860,521,528,336
433,861,522,529,337
431,861,523,529,335
432,862,523,527,335
433,861,522,529,337
432,861,521,528,335
433,860,521,528,337
432,861,522,529,336
431,861,522,529,334
433,862,522,527,337
431,861,522,529,336
433,861,521,529,336
433,860,522,529,336
432,861,521,529,335
431,861,522,530,335
432,861,522,528,336
432,861,522,528,335
433,861,521,529,336
433,860,521,529,336
432,861,522,528,335
432,861,523,530,335
431,861,522,528,334
433,861,522,529,336
433,862,521,529,336
433,860,522,529,335
433,861,522,528,337
432,861,522,529,335
432,861,523,529,335
433,861,522,529,335
432,863,522,527,335
434,861,521,529,336
432,861,522,528,336
432,862,521,528,335
433,861,523,530,336
432,861,522,528,335
433,861,522,528,336
434,862,521,529,337
432,861,521,528,336
433,862,521,528,337
432,861,522,529,335
432,861,521,529,336
433,862,522,526,337
432,862,521,528,336
433,861,521,528,336
433,862,522,528,337
431,861,522,528,335
433,861,521,529,337
433,862,522,527,336
433,862,520,526,336
433,861,521,527,338
433,860,521,528,337
432,861,521,527,336
433,861,520,528,337
433,862,521,527,335
435,862,521,526,338
433,861,521,527,335
433,861,521,528,337
433,861,521,528,338
433,861,521,527,336
433,862,522,528,337
434,862,521,527,338
433,861,520,527,336
433,861,521,529,338
432,862,521,528,337
432,861,522,528,336
433,861,522,528,337
433,862,522,527,335
433,861,521,527,337
434,861,521,528,337
433,860,521,528,337
434,861,521,527,337
431,861,522,527,336
434,862,522,527,337
434,862,521,527,338
432,862,520,527,337
435,861,521,529,338
433,861,521,527,337
432,861,521,528,336
434,861,522,529,337
433,861,521,527,335
434,862,520,527,337
434,862,521,528,338
433,861,521,528,335
433,861,521,529,337
432,861,522,528,336
433,862,521,528,337
434,862,522,527,338
433,862,520,527,337
435,860,521,528,338
433,860,521,529,338
432,861,522,528,336
434,862,522,528,337
433,861,521,528,337
433,862,521,527,336
434,861,521,528,338
434,860,521,528,337
433,862,521,529,338
433,862,521,529,337
433,861,522,527,336
434,862,521,527,339
433,861,521,528,337
435,861,521,528,338
434,860,521,529,339
433,861,521,528,337
434,862,522,529,338
434,862,522,527,339
433,861,521,528,338
435,860,521,529,340
433,860,521,529,338
434,861,522,528,337
434,861,522,528,339
434,862,521,529,338
435,861,521,527,339
435,860,521,529,340
433,860,522,529,338
435,860,521,529,340
433,861,521,527,338
435,862,521,527,339
435,861,521,528,340
434,860,521,528,339
434,861,522,529,339
434,861,521,528,338
434,862,522,527,337
436,861,521,527,340
433,860,521,528,339
435,860,521,529,338
433,860,522,529,339
434,862,521,529,339
435,862,522,526,340
435,862,521,527,339
434,861,521,528,339
435,862,523,528,341
433,861,522,529,338
434,861,521,529,339
434,862,522,527,339
433,862,521,527,338
435,861,521,529,339
434,860,521,529,337
432,861,522,528,338
435,861,521,529,339
433,862,522,527,337
435,862,521,528,339
434,862,521,529,340
433,860,521,529,338
434,861,522,529,339
434,862,521,528,338
434,862,522,527,338
435,862,521,528,340
433,861,521,528,337
435,861,522,530,340
433,861,522,528,338
434,860,521,529,337
435,862,522,529,340
435,862,521,528,338
434,861,521,528,339
434,860,522,529,339
433,861,522,529,337
433,861,522,527,339
434,861,522,529,338
435,860,521,529,339
435,861,521,528,342
433,860,522,529,338
434,861,522,530,338
435,861,522,528,340
434,862,521,529,338
436,860,521,529,340
435,860,521,529,340
433,861,522,528,338
434,861,522,530,338
434,861,521,529,338
435,862,521,527,339
435,862,521,529,340
434,862,521,528,339
434,861,522,529,339
434,862,522,528,339
434,862,521,530,338
436,862,521,527,340
435,861,521,530,338
435,860,522,531,339
433,861,522,529,339
434,862,522,528,338
435,861,522,528,340
434,862,521,529,339
435,860,520,528,339
435,862,522,529,340
433,861,522,529,338
435,862,523,528,340
435,861,521,529,340
435,862,520,529,339
436,862,522,528,340
434,862,521,528,339
433,861,522,530,338
435,862,523,529,341
435,862,521,528,340
436,862,521,530,341
435,860,522,529,340
434,862,522,528,339
434,861,523,531,339
434,862,522,529,339
434,862,522,528,340
436,863,521,529,341
435,861,522,529,339
433,861,522,529,340
435,861,521,530,339
435,862,523,529,339
436,863,522,528,342
435,862,521,529,340
435,860,521,530,340
435,861,522,529,341
434,862,522,529,338
435,862,522,530,340
435,861,521,529,340
435,862,521,528,340
435,861,522,530,340
434,862,521,529,339
435,862,522,529,340
435,862,522,529,340
434,862,522,529,339
436,862,521,528,340
435,861,522,529,339
433,861,522,531,338
435,862,523,529,340
434,862,522,529,338
435,862,522,530,340
436,862,522,529,341
434,860,522,528,339
435,861,522,530,341
434,862,523,529,339
435,862,522,529,339
434,862,521,530,341
435,861,522,529,339
435,861,522,528,340
434,862,522,530,339
434,862,522,529,339
436,861,522,529,341
434,862,520,529,340
435,860,521,530,340
434,861,521,529,341
434,862,522,529,339
435,862,522,529,340
435,861,522,529,340
435,861,521,528,340
435,860,522,531,341
434,861,522,529,339
435,862,521,529,340
435,863,521,529,341
435,861,522,529,339
435,861,521,529,340
435,861,522,530,340
434,861,521,530,339
435,862,522,529,341
435,862,521,529,339
